Source,Target,Weight
bloque,línea,15628
bloque,habana,7587
bloque,playa,7131
habana,línea,4831
habana,la habana,4557
bloque,marianao,4125
santa,santa fe,4100
centro habana,habana,4057
bloque,san miguel,3702
bloque,la lisa,3655
bloque,guanabacoa,3579
bloque,santa,3201
luyano,luyanó,2701
alamar,bloque,2510
bloque,centro habana,2323
bloque,regla,2223
playa,santa,2169
playa,santa fe,2129
bloque,paula,2090
bloque,boyeros,2074
línea,playa,2062
bloque,lawton,2038
bloque,nuevo vedado,1959
bloque,santa fe,1816
bloque,miramar,1808
bloque,cuba,1795
bloque,cojimar,1782
bloque,santos suárez,1768
bloque,mayo,1763
bloque,san agustín,1701
arroyo naranjo,bloque,1678
bloque,la habana,1644
guanabacoa,línea,1355
la lisa,línea,1342
línea,santa,1259
línea,marianao,1115
miramar,playa,1070
bloque,guanabo,1063
boyeros,calabazar,1009
bloque,luyanó,974
bloque,luyano,974
bloque,la coronela,896
boyeros,línea,882
bloque,octubre,857
alamar,línea,849
arroyo naranjo,línea,840
alberro,bloque,820
la lisa,san agustín,810
bloque,plaza,791
bloque,calabazar,777
bloque,querejeta,773
marianao,santa,759
línea,san miguel,752
marianao,santa fe,741
línea,regla,737
bloque,versalles,732
línea,santa fe,712
bloque,víbora park,687
bloque,mantilla,681
la lisa,versalles,669
bloque,buenavista,666
bloque,santo suárez,664
centro habana,línea,660
playa,querejeta,635
paula,san francisco,634
buenavista,playa,628
línea,pogolotti,625
alturas,bloque,611
bloque,wajay,585
bloque,valle grande,580
bloque,pogolotti,513
la coronela,la lisa,508
boyeros,mayo,492
alturas,la lisa,487
lawton,línea,472
luyano,línea,469
luyanó,línea,469
alamar,habana,463
bloque,san francisco,463
línea,mayo,451
alberro,línea,444
cuba,habana,428
cuba,playa,422
línea,octubre,421
habana,playa,420
guanabacoa,habana,403
habana,santa,398
lawton,octubre,375
línea,miramar,373
guanabacoa,santa,370
california,san miguel,358
línea,san agustín,356
marianao,pogolotti,343
línea,nuevo vedado,342
la coronela,línea,327
cuba,la habana,316
bloque,california,316
la habana,línea,305
habana,regla,299
boyeros,habana,297
arroyo naranjo,santa,297
guanabacoa,santa fe,295
habana,marianao,295
línea,paula,289
habana,san miguel,285
bloque,miraflores,270
línea,mantilla,267
línea,plaza,266
luyanó,octubre,264
luyano,octubre,264
cuba,línea,261
arroyo naranjo,habana,258
octubre,santa,254
la lisa,valle grande,247
arroyo naranjo,víbora park,241
boyeros,miraflores,240
alturas,belén,236
cojimar,línea,229
habana,mayo,226
casablanca,línea,226
boyeros,wajay,224
habana,la lisa,216
habana,pogolotti,214
alturas,san miguel,205
línea,santos suárez,201
calabazar,línea,199
boyeros,santa,186
guanabo,línea,186
cuba,mayo,184
guanabacoa,regla,178
línea,versalles,175
alturas,línea,175
línea,querejeta,174
línea,wajay,173
línea,víbora park,171
alturas,marianao,169
arroyo naranjo,managua,169
belén,marianao,168
habana,santa fe,166
línea,miraflores,161
belén,bloque,154
luyano,san miguel,149
luyanó,san miguel,149
guanabo,habana,141
paula,san miguel,139
línea,valle grande,137
octubre,santos suárez,136
la habana,mayo,133
casablanca,regla,129
la habana,playa,128
habana,octubre,127
habana,lawton,125
regla,santa,121
habana,paula,121
playa,regla,120
nuevo vedado,plaza,118
arroyo naranjo,mantilla,112
línea,santiago,112
línea,san francisco,111
santa,santos suárez,111
buenavista,línea,109
bloque,santiago,109
san francisco,san miguel,103
cojimar,habana,100
cuba,regla,99
habana,plaza,98
línea,santo suárez,97
línea,managua,94
la lisa,regla,92
bloque,managua,89
habana,wajay,87
habana,mantilla,81
regla,san miguel,81
boyeros,regla,81
alamar,regla,80
la habana,regla,78
marianao,regla,78
paula,playa,78
habana,luyano,76
luyanó,santa,76
luyano,santa,76
habana,luyanó,76
mayo,regla,75
marianao,playa,74
la habana,san miguel,73
alturas,luyano,72
alturas,luyanó,72
alamar,la habana,71
la habana,santa,70
guanabacoa,versalles,69
calabazar,habana,68
habana,santos suárez,66
la habana,marianao,66
lawton,santa,65
octubre,santo suárez,64
centro habana,san miguel,64
cuba,santa,63
cuba,paula,63
regla,santa fe,62
habana,nuevo vedado,62
boyeros,santiago,62
guanabacoa,la habana,62
cuba,guanabacoa,61
centro habana,la habana,61
la habana,la lisa,60
belén,santa,59
mayo,playa,59
regla,san agustín,59
habana,san agustín,59
california,línea,59
belén,santa fe,59
arroyo naranjo,regla,58
la habana,lawton,57
cuba,marianao,57
alberro,santa,57
luyano,santa fe,56
luyanó,santa fe,56
lawton,san francisco,55
alturas,habana,55
habana,versalles,54
alturas,guanabacoa,54
octubre,regla,54
santa,víbora park,54
lawton,regla,54
alturas,santa,52
habana,santiago,50
