Lugar_Sugerido,Frecuencia,Nota de limpieza
Alamar,27,
Santiago,22,"(Sumado con ""Stgo"")"
San Miguel,22,
San Agustín,20,
Octubre,20,"(Sumado con ""Octubre se"")"
Playa,18,
Marianao,17,
Santa Fe,17,
Santos Suárez,17,"(Sumado con ""Santo Suárez"")"
Lawton,16,
Valle Grande,15,
Querejeta,14,
Paula,13,
Luyanó,11,"(Sumado con ""Luyano"")"
Centro Habana,11,
Infanta,11,
Regla,10,
Casablanca,10,
Miramar,10,
Guanabacoa,10,
Pogolotti,9,
Wajay,9,
Boyeros,8,
Alberro,7,
Cotorro,7,
Calabazar,7,
Las Vegas,6,
Siboney San,6,
Santa Catalina,5,
Nuevo Vedado,5,
Panchito Gómez,4,
San Lázaro,4,
Belén,4,
Santa,4,
Habana,4,
Arroyo Arenas,4,
Cuba,4,
Miraflores,4,
Guanabo,4,
La Ceiba,4,
Palmar Pocitos,4,
Cojimar,4,
Jacomino,4,
Camilo Cienfuegos,3,
California,3,
Alturas,3,
