Bloque,Municipio,Weight
Bloque nan,línea,15992
Bloque nan,habana,9657
Bloque nan,playa,7450
Bloque nan,alamar,6174
Bloque nan,santa,4227
Bloque nan,guanabacoa,3703
Bloque nan,la habana,3430
Bloque nan,marianao,3268
Bloque 2.0,línea,3102
Bloque nan,cuba,3024
Bloque nan,la lisa,2978
Bloque nan,regla,2927
Bloque 1.0,línea,2822
Bloque 3.0,línea,2822
Bloque nan,lawton,2746
Bloque nan,san miguel,2565
Bloque nan,boyeros,2536
Bloque nan,santa fe,2405
Bloque 4.0,línea,2383
Bloque 1.0,playa,2221
Bloque 2.0,marianao,2166
Bloque nan,arroyo naranjo,2100
Bloque nan,centro habana,1865
Bloque 5.0,línea,1862
Bloque nan,mayo,1810
Bloque 1.0,habana,1809
Bloque nan,luyano,1774
Bloque nan,luyanó,1774
Bloque nan,san agustín,1675
Bloque 2.0,playa,1498
Bloque 2.0,boyeros,1425
Bloque 6.0,línea,1407
Bloque 6.0,la lisa,1403
Bloque 1.0,guanabacoa,1397
Bloque 4.0,playa,1397
Bloque nan,octubre,1393
Bloque nan,paula,1340
Bloque 3.0,habana,1298
Bloque 5.0,la lisa,1166
Bloque 1.0,marianao,1149
Bloque 2.0,alamar,1147
Bloque 2.0,nuevo vedado,1136
Bloque nan,calabazar,1129
Bloque 6.0,lawton,1089
Bloque nan,cojimar,1078
Bloque nan,plaza,1075
Bloque 5.0,cojimar,1031
Bloque 4.0,habana,1009
Bloque nan,miramar,973
Bloque 1.0,santa,968
Bloque 6.0,habana,958
Bloque nan,la coronela,957
Bloque 1.0,alamar,927
Bloque 1.0,centro habana,915
Bloque 1.0,santa fe,904
Bloque nan,wajay,894
Bloque nan,pogolotti,887
Bloque 5.0,san agustín,885
Bloque 3.0,playa,861
Bloque nan,santiago,843
Bloque nan,santos suárez,833
Bloque 4.0,san miguel,826
Bloque 2.0,san miguel,815
Bloque nan,nuevo vedado,804
Bloque 4.0,lawton,789
Bloque 1.0,regla,783
Bloque 5.0,habana,782
Bloque 2.0,santa,781
Bloque 1.0,la coronela,780
Bloque nan,víbora park,771
Bloque 2.0,habana,765
Bloque 1.0,san miguel,750
Bloque nan,mantilla,740
Bloque 2.0,calabazar,705
Bloque nan,guanabo,700
Bloque 4.0,cojimar,693
Bloque 3.0,paula,693
Bloque 2.0,guanabacoa,681
Bloque 5.0,versalles,672
Bloque 4.0,luyanó,672
Bloque 4.0,luyano,672
Bloque 4.0,miramar,661
Bloque 1.0,santos suárez,660
Bloque nan,buenavista,659
Bloque nan,casablanca,641
Bloque 2.0,mayo,635
Bloque 2.0,santos suárez,634
Bloque 5.0,guanabo,626
Bloque 6.0,centro habana,621
Bloque 2.0,santa fe,621
Bloque 5.0,guanabacoa,614
Bloque nan,alturas,613
Bloque 1.0,miramar,601
Bloque 5.0,wajay,554
Bloque 6.0,san miguel,549
Bloque 5.0,valle grande,547
Bloque 5.0,santa,544
Bloque nan,versalles,537
Bloque 6.0,regla,534
Bloque nan,valle grande,503
Bloque 3.0,san miguel,490
Bloque 6.0,arroyo naranjo,478
Bloque nan,managua,478
Bloque nan,alberro,475
Bloque nan,querejeta,474
Bloque 4.0,nuevo vedado,473
Bloque nan,siboney,471
Bloque nan,san francisco,460
Bloque 1.0,la lisa,458
Bloque 4.0,arroyo naranjo,453
Bloque 3.0,centro habana,442
Bloque 5.0,pogolotti,438
Bloque 3.0,alberro,431
Bloque 3.0,san francisco,414
Bloque 3.0,mantilla,413
Bloque 2.0,regla,411
Bloque 6.0,san agustín,402
Bloque 2.0,querejeta,399
Bloque 5.0,marianao,399
Bloque 1.0,guanabo,382
Bloque nan,santo suárez,361
Bloque 2.0,cuba,355
Bloque 2.0,paula,347
Bloque 4.0,guanabacoa,343
Bloque 3.0,guanabacoa,340
Bloque 3.0,la lisa,340
Bloque 1.0,santo suárez,339
Bloque 3.0,mayo,335
Bloque 6.0,santa,329
Bloque 3.0,querejeta,327
Bloque 5.0,playa,326
Bloque 6.0,playa,325
Bloque nan,california,322
Bloque 3.0,arroyo naranjo,317
Bloque 1.0,alberro,313
Bloque 1.0,paula,309
Bloque 4.0,plaza,299
Bloque 1.0,san agustín,296
Bloque 4.0,cuba,276
Bloque 3.0,víbora park,271
Bloque 2.0,miramar,269
Bloque 5.0,boyeros,258
Bloque 5.0,santos suárez,258
Bloque 1.0,nuevo vedado,258
Bloque 2.0,miraflores,256
Bloque 2.0,buenavista,243
Bloque 4.0,paula,237
Bloque 2.0,la habana,234
Bloque 4.0,santa,232
Bloque 3.0,buenavista,229
Bloque 4.0,octubre,228
Bloque 3.0,la habana,223
Bloque 1.0,cuba,222
Bloque 6.0,alturas,218
Bloque 2.0,octubre,203
Bloque 5.0,centro habana,198
Bloque 1.0,la habana,195
Bloque 2.0,california,193
Bloque 4.0,la habana,190
Bloque 6.0,cuba,189
