Source,Target,Weight
Santa,Santa Fe,104
Centro Habana,Habana,77
Playa,Santa,59
Playa,Santa Fe,58
Las Vegas,Santiago,42
Boyeros,Calabazar,31
Alberro,Cotorro,29
Santa,Santa Catalina,29
Miramar,Playa,28
Jacomino,San Miguel,22
Playa,Querejeta,22
La Ceiba,Playa,21
Marianao,Santa,17
Marianao,Santa Fe,17
Octubre,Santa,16
Octubre,Santa Catalina,16
Cotorro,Santa,11
Habana,Regla,10
Guanabacoa,Santa,10
California,San Miguel,9
Guanabacoa,Santa Fe,9
Boyeros,Wajay,8
Habana,Santa,8
Cuba,Playa,8
Marianao,Palmar Pocitos,7
Boyeros,Santa,7
Paula,Siboney San,6
Luyanó,Octubre,6
Habana,Playa,5
Guanabacoa,Habana,5
Camilo Cienfuegos,Habana,5
Alberro,Santa,5
Alturas,Belén,5
Alamar,Regla,4
Habana,San Miguel,4
Marianao,Pogolotti,4
Belén,Marianao,4
Centro Habana,Santa,4
Boyeros,Miraflores,4
Alturas,San Miguel,3
Centro Habana,San Miguel,3
Alturas,Marianao,3
Cuba,Querejeta,3
Alturas,Guanabacoa,3
Luyanó,San Miguel,3
Jacomino,Regla,3
Lawton,Santos Suárez,3
Habana,Infanta,3
Octubre,Santos Suárez,3
Cuba,Guanabacoa,2
Belén,Santa,2
Cuba,Habana,2
Lawton,Octubre,2
Habana,Octubre,2
Habana,San Agustín,2
Habana,Lawton,2
Habana,San Lázaro,2
Belén,Santa Fe,2
Alturas,Habana,2
Centro Habana,San Lázaro,2
Alturas,Playa,1
Boyeros,Las Vegas,1
Alamar,Habana,1
Alturas,La Ceiba,1
Boyeros,Habana,1
California,Jacomino,1
Cotorro,Habana,1
Centro Habana,Infanta,1
Casablanca,Regla,1
Boyeros,Regla,1
Boyeros,Santiago,1
Calabazar,Regla,1
California,Habana,1
Habana,Pogolotti,1
Guanabo,Habana,1
Habana,Jacomino,1
Cuba,Regla,1
Cuba,Marianao,1
Habana,Paula,1
Habana,Nuevo Vedado,1
Habana,Marianao,1
Habana,Miramar,1
Jacomino,Paula,1
Infanta,San Miguel,1
Habana,Santos Suárez,1
Luyanó,Santa Fe,1
Marianao,Playa,1
Lawton,Luyanó,1
Luyanó,Santa,1
Paula,Regla,1
Playa,Regla,1
Paula,San Miguel,1
Pogolotti,Querejeta,1
Regla,San Miguel,1
Regla,Santa Fe,1
Regla,Santa,1
Santa,Santos Suárez,1
Santa Catalina,Santos Suárez,1
